,created_hr,set,favorite_count,retweet_count,influence_score,user_since,followers_count,listed_count,num_tags,num_media,num_symbols,num_urls,num_user_mentions,influence_interval,isVerified,isRetweeted,isReply,dotw
5464,9,2,0,0,13.125,0,462,21,0,0,0,1,0,3,0,0,0,3
5493,9,2,0,0,13.125,0,462,21,0,0,0,0,0,3,0,0,0,3
5548,9,2,4,1,13.100000000000001,6,452,0,0,0,0,0,0,4,0,1,0,3
4178,18,6,0,0,13.100000000000001,6,524,0,0,0,0,1,0,4,0,0,0,2
2774,14,4,0,0,13.1,0,461,21,0,0,0,1,0,4,0,0,0,2
5112,10,2,0,0,13.1,0,461,21,0,0,0,0,0,0,0,0,0,3
5207,9,2,0,0,13.1,0,461,21,0,0,0,0,1,1,0,0,1,3
1242,9,2,0,0,13.075,0,460,21,0,0,0,1,0,3,0,0,0,2
5050,9,2,0,0,13.075,0,460,21,0,0,0,0,0,0,0,0,0,3
1363,9,2,0,0,13.075,0,460,21,0,0,0,1,0,4,0,0,0,2
1377,9,2,0,0,13.075,0,460,21,0,0,0,0,1,4,0,0,1,2
1135,9,2,0,0,13.075,0,460,21,0,0,0,1,0,2,0,0,0,2
7656,16,5,0,0,13.05,10,483,13,0,0,0,0,1,4,0,0,0,3
6915,14,4,0,0,13.05,10,483,13,0,0,0,1,0,3,0,0,0,3
4885,7,1,7,0,13.05,10,393,15,0,0,0,1,2,4,0,0,1,3
7137,16,5,0,0,13.05,7,501,7,0,0,0,0,1,0,0,0,1,3
803,9,2,0,0,13.025,0,458,21,0,0,0,0,0,0,0,0,0,2
825,9,2,0,0,13.025,0,458,21,0,0,0,0,0,0,0,0,0,2
2563,14,4,0,0,13.025,9,488,11,0,0,0,0,3,2,0,0,1,2
864,9,2,0,0,13.0,3,517,1,0,0,0,1,2,0,0,0,1,2
2502,14,4,1,0,13.0,6,505,1,0,0,0,0,0,2,0,0,0,2
4544,7,1,1,0,12.925,7,496,3,0,0,0,1,1,1,0,0,0,3
914,9,2,0,0,12.825,6,495,6,1,0,0,0,1,1,0,0,1,2
1019,9,2,0,0,12.825,6,510,1,0,0,0,0,0,2,0,0,0,2
7233,16,5,1,0,12.8,4,491,3,0,1,0,0,0,1,0,0,0,3
3958,18,6,0,0,12.775,6,472,13,0,0,0,1,1,2,0,0,1,2
4809,7,1,0,0,12.775,6,472,13,0,0,0,0,2,3,0,0,1,3
2677,14,4,15,4,12.775,6,205,10,0,0,0,1,1,3,0,1,1,2
2402,14,4,1,0,12.675000000000002,8,474,7,0,0,0,1,2,1,0,0,1,2
6123,12,3,0,0,12.675,9,468,13,0,0,0,2,1,3,0,0,0,3
5957,12,3,0,0,12.675,9,468,13,0,0,0,2,1,2,0,0,0,3
3836,18,6,0,0,12.65,9,467,13,0,0,0,1,0,1,0,0,0,2
6828,14,4,1,0,12.625000000000002,9,493,0,2,0,0,0,1,3,0,0,1,3
4581,7,1,3,0,12.6,10,450,6,0,0,0,0,2,2,0,0,1,3
5275,9,2,1,0,12.55,10,397,31,0,0,0,1,1,2,0,0,0,3
7404,16,5,0,0,12.525,8,480,7,0,0,0,0,1,2,0,0,1,3
7427,16,5,0,0,12.525,8,480,7,0,0,0,1,2,2,0,0,0,3
2793,14,4,4,0,12.475,4,427,8,0,0,0,0,1,4,0,0,0,2
7136,16,5,0,0,12.450000000000001,8,477,7,0,0,0,0,2,0,0,0,1,3
2733,14,4,0,0,12.45,9,411,29,0,0,0,1,0,4,0,0,0,2
2694,14,4,0,0,12.375000000000002,8,474,7,0,0,0,1,1,3,0,0,1,2
2834,14,4,0,0,12.375000000000002,8,474,7,0,0,0,1,2,4,0,0,1,2
6665,14,4,0,0,12.325000000000001,9,493,0,0,1,0,0,0,2,0,0,0,3
8102,18,6,0,0,12.3,9,456,12,0,0,0,0,1,2,0,0,1,3
3980,18,6,0,0,12.225000000000001,5,474,5,0,0,0,1,0,2,0,0,0,2
3877,18,6,3,2,12.15,5,399,1,0,0,0,1,2,2,0,1,0,2
6077,12,3,2,0,12.125,4,401,20,0,0,0,0,3,2,0,0,1,3
2147,12,3,3,0,12.100000000000001,8,436,4,0,1,0,0,0,4,0,0,0,2
8276,18,6,0,0,12.0,7,471,3,3,0,0,1,0,3,0,0,0,3
606,7,1,1,0,11.975000000000001,1,467,0,0,0,0,1,0,4,0,0,0,2
3884,18,6,3,0,11.900000000000002,11,428,4,0,0,0,0,1,2,0,0,1,2
4852,7,1,0,0,11.875000000000002,9,448,9,0,0,0,0,0,4,0,0,0,3
87,7,1,0,0,11.850000000000001,8,417,19,0,0,0,0,2,0,0,0,0,2
2807,14,4,11,0,11.85,5,309,11,0,0,0,1,2,4,0,0,0,2
7923,18,6,0,0,11.825000000000001,9,419,18,2,0,0,1,0,1,0,0,0,3
3583,18,6,0,0,11.825,7,440,11,0,0,0,0,0,0,0,0,0,2
3754,18,6,0,0,11.8,6,433,13,0,0,0,0,1,1,0,0,1,2
144,7,1,0,0,11.775000000000002,6,459,4,0,0,0,0,0,0,0,0,0,2
8042,18,6,0,0,11.75,10,452,6,1,0,0,1,0,1,0,0,0,3
439,7,1,0,0,11.75,5,470,0,0,0,0,0,2,3,0,0,1,2
3027,16,5,1,0,11.675,7,455,0,0,0,0,0,1,1,0,0,1,2
2866,14,4,0,0,11.6,6,455,3,0,0,0,0,0,4,0,0,0,2
2954,16,5,0,0,11.575000000000001,3,463,0,0,0,0,0,0,0,0,0,0,2
3655,18,6,0,0,11.55,7,459,1,0,0,0,0,2,0,0,0,1,2
7837,18,6,0,0,11.55,8,432,10,0,0,0,0,4,0,0,0,1,3
3144,16,5,2,0,11.525,9,428,3,0,0,0,1,0,1,0,0,0,2
4689,7,1,0,0,11.375000000000002,6,428,9,0,0,0,0,2,2,0,0,1,3
3330,16,5,0,0,11.375,7,455,0,0,0,0,1,0,3,0,0,0,2
836,9,2,0,0,11.375,7,455,0,0,1,0,0,0,0,0,0,0,2
6679,14,4,1,0,11.350000000000001,5,433,3,0,0,0,0,1,2,0,0,0,3
3982,18,6,0,0,11.325000000000001,6,426,9,0,0,0,1,2,2,0,0,1,2
4096,18,6,0,0,11.325000000000001,6,426,9,0,0,0,0,4,3,0,0,1,2
4221,18,6,0,0,11.325000000000001,6,426,9,0,0,0,1,2,4,0,0,1,2
1945,12,3,1,1,11.3,4,413,1,0,0,0,0,1,3,0,1,0,2
1506,12,3,0,0,11.275,7,451,0,0,0,0,0,0,0,0,0,0,2
7917,18,6,0,0,11.200000000000001,8,427,7,0,0,0,1,0,1,0,0,0,3
6051,12,3,0,0,11.200000000000001,7,436,4,0,0,0,0,1,2,0,0,1,3
7545,16,5,0,1,11.175,7,333,30,6,0,0,1,0,3,0,1,0,3
7510,16,5,0,0,11.175,11,435,4,0,0,0,0,1,3,0,0,1,3
7858,18,6,0,0,11.175,9,423,8,0,0,0,0,1,0,0,0,1,3
6362,12,3,5,0,11.15,7,380,2,0,0,0,1,0,4,0,0,0,3
4487,7,1,0,0,11.125,7,376,23,0,0,0,1,1,1,0,0,1,3
4168,18,6,0,0,11.125,9,430,5,0,0,0,1,0,4,0,0,0,2
4619,7,1,0,0,11.125,7,376,23,0,0,0,0,0,2,0,0,0,3
8023,18,6,0,0,11.100000000000001,11,432,4,1,0,0,0,0,1,0,0,0,3
3985,18,6,3,0,11.075000000000001,4,404,1,0,0,0,1,0,2,0,0,0,2
4602,7,1,1,0,11.075000000000001,9,422,3,0,0,0,0,1,2,0,0,1,3
128,7,1,0,0,11.05,7,421,7,0,0,0,1,0,0,0,0,0,2
5129,9,2,0,0,11.05,9,388,18,0,0,0,0,1,1,0,0,1,3
7195,16,5,0,0,11.025000000000002,11,429,4,1,0,0,0,0,0,0,0,0,3
4006,18,6,0,0,11.025000000000002,11,429,4,0,0,0,0,1,3,0,0,1,2
7278,16,5,0,0,11.025000000000002,11,429,4,1,0,0,0,0,1,0,0,0,3
7853,18,6,0,0,11.025,9,387,18,0,0,0,0,1,0,0,0,1,3
6339,12,3,0,0,11.025,9,387,18,0,0,0,1,0,4,0,0,0,3
5130,9,2,0,0,11.0,3,365,25,0,0,0,1,1,1,0,0,0,3
3581,18,6,0,0,10.975000000000001,11,427,4,0,0,0,0,1,0,0,0,1,2
8445,18,6,0,0,10.975000000000001,4,439,0,0,0,0,0,0,4,0,0,0,3
42,7,1,0,0,10.975000000000001,10,394,15,0,0,0,0,2,0,0,0,1,2
66,7,1,0,0,10.975000000000001,10,394,15,0,0,0,1,2,0,0,0,1,2
8377,18,6,0,0,10.950000000000001,1,429,3,0,0,0,1,0,4,0,0,0,3
2710,14,4,0,0,10.950000000000001,1,429,3,0,0,0,1,0,3,0,0,0,2
5520,9,2,1,0,10.900000000000002,4,424,0,0,1,0,0,0,3,0,0,0,3
5531,10,2,2,0,10.775,7,395,4,1,0,0,1,0,3,0,0,0,3
4952,7,1,0,0,10.775,6,425,2,0,0,0,0,0,4,0,0,0,3
6177,12,3,0,0,10.775,8,425,2,0,0,0,0,1,3,0,0,1,3
6281,12,3,0,0,10.775,8,425,2,0,0,0,0,1,4,0,0,0,3
5683,12,3,0,0,10.750000000000002,8,424,2,0,0,0,0,2,0,0,0,1,3
2030,12,3,0,0,10.675,6,424,1,0,0,0,1,0,4,0,0,0,2
2022,12,3,0,0,10.675,6,424,1,0,0,0,0,0,4,0,0,0,2
269,7,1,0,0,10.65,6,423,1,0,0,0,0,1,1,0,0,1,2
1464,12,3,0,0,10.65,6,423,1,0,0,0,0,0,0,0,0,0,2
4713,7,1,0,0,10.625000000000002,7,368,19,0,0,0,0,1,3,0,0,1,3
2104,12,3,1,0,10.600000000000001,0,412,0,0,0,0,0,0,4,0,0,0,2
5754,12,3,0,0,10.6,6,415,3,0,0,0,1,1,0,0,0,0,3
2650,14,4,0,0,10.45,5,415,1,0,0,0,1,0,3,0,0,0,2
8391,18,6,1,0,10.425,3,405,0,0,0,0,0,0,4,0,0,0,3
7603,16,5,0,0,10.4,0,416,0,0,0,0,0,0,3,0,0,0,3
7383,16,5,1,0,10.350000000000001,6,402,0,0,0,0,1,0,2,0,0,0,3
3990,18,6,1,0,10.3,6,397,1,0,0,0,1,0,2,0,0,0,2
6604,14,4,0,0,10.275000000000002,7,399,4,1,0,0,0,0,1,0,0,0,3
4563,7,1,3,1,10.275,6,342,3,0,0,0,1,1,2,0,1,1,3
8353,18,6,0,0,10.275,10,366,15,2,0,0,0,0,4,0,0,0,3
6005,12,3,0,0,10.25,9,335,25,1,0,0,0,1,2,0,0,1,3
5033,9,2,0,0,10.200000000000001,10,396,4,0,0,0,0,0,0,0,0,0,3
1254,9,2,0,0,10.15,10,373,11,0,0,0,0,1,3,0,0,1,2
5496,9,2,0,0,9.975,0,390,3,0,0,0,0,0,3,0,0,0,3
5873,12,3,0,0,9.950000000000001,6,398,0,0,0,0,0,0,1,0,0,0,3
3579,18,6,0,0,9.95,3,308,30,1,0,0,0,0,0,0,0,0,2
2822,14,4,0,0,9.925,1,391,2,0,0,0,0,2,4,0,0,1,2
3870,18,6,0,0,9.925,1,391,2,0,0,0,0,0,2,0,0,0,2
4011,18,6,0,0,9.925,1,391,2,0,0,0,0,0,3,0,0,1,2
3896,18,6,2,1,9.924999999999999,4,316,11,2,0,0,1,2,2,0,1,0,2
5634,9,2,3,0,9.9,6,354,2,0,0,0,0,0,4,0,0,0,3
8118,18,6,0,0,9.875,6,395,0,0,0,0,0,1,2,0,0,1,3
7866,18,6,0,0,9.850000000000001,6,394,0,0,0,0,0,1,0,0,0,1,3
1698,12,3,0,0,9.8,6,392,0,0,0,0,0,0,1,0,0,0,2
2427,14,4,0,0,9.725000000000001,10,338,17,0,0,0,1,0,1,0,0,0,2
662,7,1,0,0,9.674999999999999,2,339,16,0,0,0,1,0,4,0,0,1,2
452,7,1,0,0,9.674999999999999,2,339,16,0,0,0,1,0,3,0,0,1,2
7052,14,4,0,0,9.600000000000001,7,384,0,0,0,0,0,1,4,0,0,0,3
6541,14,4,2,0,9.6,9,330,10,0,0,0,0,0,1,0,0,0,3
4070,18,6,1,0,9.6,7,369,1,0,0,0,0,2,3,0,0,1,2
7390,16,5,0,0,9.575000000000001,7,371,4,0,0,0,0,1,2,0,0,1,3
256,7,1,0,0,9.450000000000001,6,378,0,0,0,0,1,1,1,0,0,1,2
6789,14,4,0,0,9.425,3,368,3,0,0,0,0,1,2,0,0,1,3
8239,18,6,2,0,9.424999999999999,7,344,3,0,0,0,0,2,3,0,0,1,3
226,7,1,0,1,9.375,6,342,3,0,0,0,0,1,1,0,1,1,2
549,7,1,2,1,9.35,8,317,3,0,0,0,1,8,3,0,1,1,2
7740,16,5,0,0,9.325000000000001,7,331,14,0,0,0,0,1,4,0,0,1,3
1574,12,3,0,0,9.325000000000001,6,373,0,0,0,0,0,0,0,0,0,0,2
2706,14,4,1,0,9.3,6,306,18,0,0,0,0,1,3,0,0,1,2
2697,14,4,1,0,9.3,6,306,18,0,1,0,0,1,3,0,0,1,2
1695,12,3,0,0,9.299999999999999,8,339,11,0,0,0,0,1,1,0,0,1,2
246,7,1,1,0,9.275,7,350,3,0,0,0,0,2,1,0,0,1,2
364,7,1,2,1,9.275,8,314,3,0,0,0,1,8,2,0,1,1,2
1994,12,3,0,0,9.25,9,316,18,0,1,0,0,1,3,0,0,0,2
7283,16,5,0,0,9.225000000000001,8,186,61,2,0,0,0,0,1,0,0,0,3
