,created_hr,set,favorite_count,retweet_count,influence_score,user_since,followers_count,listed_count,num_tags,num_media,num_symbols,num_urls,num_user_mentions,influence_interval,isVerified,isRetweeted,isReply,dotw
7581,16,5,0,0,27.450000000000003,5,969,43,0,0,0,0,1,4,0,0,1,3
17649,12,3,0,0,27.4,7,805,97,0,0,0,0,1,0,0,0,1,6
1147,9,2,0,0,27.35,7,803,97,0,0,0,1,1,2,0,0,1,2
18097,12,3,0,1,27.325000000000003,5,985,28,0,0,0,1,0,3,0,1,0,6
19226,16,5,0,0,27.3,7,1086,2,0,0,0,0,0,2,0,0,0,6
15527,16,5,0,0,27.125,6,1070,5,0,0,0,0,0,4,0,0,0,5
3849,18,6,2,1,27.1,7,991,15,0,0,0,1,8,1,0,1,1,2
3179,16,5,0,0,27.075,6,1077,2,0,0,0,0,0,1,0,0,0,2
4927,7,1,3,0,27.075,8,930,39,2,0,0,1,0,4,0,0,0,3
10216,12,3,7,2,27.000000000000004,4,936,4,1,0,0,1,0,4,0,1,0,4
6535,14,4,3,2,26.975,0,986,3,1,0,0,1,2,1,0,1,1,3
18196,12,3,2,0,26.950000000000003,7,1018,12,0,0,0,1,0,4,0,0,0,6
26005,12,3,0,0,26.925,9,1047,10,0,0,0,1,1,3,0,0,1,1
8146,18,6,1,0,26.925,5,984,27,0,0,0,1,0,3,0,0,0,3
16188,18,6,7,1,26.875,7,961,2,0,0,0,1,0,4,0,1,0,5
14791,14,4,6,0,26.85,4,999,1,0,1,0,0,0,3,0,0,0,5
2189,12,3,2,0,26.800000000000004,4,988,20,0,0,0,1,1,4,0,0,0,2
24854,7,1,2,0,26.800000000000004,9,1048,0,0,0,0,1,1,4,0,0,1,1
26667,14,4,4,0,26.775000000000002,0,1011,4,0,0,0,1,2,3,0,0,1,1
6467,14,4,2,0,26.775000000000002,4,987,20,0,0,0,0,0,1,0,0,0,3
26226,12,3,4,0,26.775000000000002,0,1011,4,0,0,0,1,3,4,0,0,1,1
