,created_hr,set,favorite_count,retweet_count,influence_score,user_since,followers_count,listed_count,num_tags,num_media,num_symbols,num_urls,num_user_mentions,influence_interval,isVerified,isRetweeted,isReply,dotw
7351,16,5,0,0,24.225,7,933,12,0,0,0,0,1,2,0,0,1,3
5978,12,3,0,0,24.225,7,933,12,0,0,0,1,2,2,0,0,1,3
27763,18,6,1,0,24.175,1,952,1,0,0,0,1,0,1,0,0,0,1
27234,16,5,1,0,24.175,1,952,1,0,0,0,1,0,2,0,0,0,1
27777,18,6,1,0,24.175,1,952,1,0,0,0,1,0,1,0,0,0,1
24223,18,6,0,0,24.175,9,946,7,0,0,0,0,0,4,0,0,0,7
27249,16,5,1,0,24.175,1,952,1,0,0,0,1,0,2,0,0,0,1
27107,16,5,1,0,24.175,1,952,1,0,0,0,1,0,1,0,0,0,1
27754,18,6,1,0,24.175,1,952,1,0,0,0,1,0,1,0,0,0,1
11964,18,6,0,1,24.175,9,805,46,0,0,0,0,1,2,0,1,1,4
27122,16,5,1,0,24.175,1,952,1,0,0,0,1,0,1,0,0,0,1
23529,16,5,0,1,24.175,9,937,2,0,0,0,1,0,4,0,1,0,7
27129,16,5,1,0,24.175,1,952,1,0,0,0,1,0,1,0,0,0,1
27111,16,5,1,0,24.175,1,952,1,0,0,0,1,0,1,0,0,0,1
23565,16,5,9,0,24.15,4,855,1,0,0,0,1,0,4,0,0,0,7
13551,9,2,2,0,24.125000000000004,1,938,1,0,0,0,1,0,4,0,0,0,5
11313,16,5,0,0,24.125,9,947,6,0,0,0,0,1,2,0,0,1,4
20889,7,1,4,0,24.1,8,913,1,0,0,0,1,0,4,0,0,0,7
26123,12,3,1,0,24.050000000000004,7,896,18,0,0,0,1,0,4,0,0,0,1
13319,9,2,0,1,24.025000000000002,9,931,2,0,0,0,1,0,2,0,1,0,5
5124,9,2,1,0,24.0,1,945,1,0,0,0,1,0,1,0,0,0,3
9371,9,2,1,0,23.925,1,942,1,0,0,0,1,0,3,0,0,0,4
26738,14,4,0,0,23.875,1,952,1,0,0,0,1,0,3,0,0,0,1
22836,14,4,1,0,23.85,7,801,47,1,0,0,1,2,4,0,0,1,7
4206,18,6,3,0,23.825,8,851,22,0,0,0,0,1,4,0,0,1,2
23533,16,5,1,0,23.750000000000004,4,878,20,0,0,0,0,3,4,0,0,1,7
10752,14,4,1,0,23.750000000000004,9,884,18,0,0,0,1,2,3,0,0,0,4
5539,9,2,0,0,23.75,6,857,31,0,0,0,1,0,4,0,0,0,3
15429,16,5,2,0,23.700000000000003,1,906,6,3,0,0,0,0,3,0,0,0,5
3561,16,5,0,0,23.7,9,900,16,1,0,0,1,0,4,0,0,0,2
20568,7,1,0,0,23.625,8,807,46,0,0,0,0,1,2,0,0,1,7
21841,12,3,0,0,23.625,8,807,46,0,0,0,0,1,1,0,0,1,7
21930,12,3,0,0,23.625,8,807,46,0,0,0,1,0,2,0,0,0,7
5731,12,3,0,0,23.625,1,942,1,0,0,0,0,0,0,0,0,0,3
26351,14,4,0,0,23.625,4,879,22,0,0,0,0,1,0,0,0,1,1
5709,12,3,0,0,23.625,1,942,1,0,0,0,0,0,0,0,0,0,3
10135,12,3,2,0,23.6,1,902,6,0,0,0,1,0,3,0,0,0,4
23398,16,5,0,0,23.575,9,805,46,0,0,0,0,0,3,0,0,0,7
23582,16,5,0,0,23.575,9,937,2,0,0,0,1,0,4,0,0,0,7
6264,12,3,9,5,23.575,2,682,11,0,0,0,1,1,4,0,1,0,3
22196,12,3,5,0,23.500000000000004,6,811,23,0,0,0,1,0,4,0,0,0,7
6679,14,4,1,1,23.475,6,894,3,0,0,0,1,0,2,0,1,0,3
25469,9,2,0,0,23.450000000000003,9,926,4,0,0,0,0,0,4,0,0,0,1
25206,9,2,0,0,23.450000000000003,9,926,4,0,0,0,0,0,2,0,0,0,1
25477,9,2,0,0,23.450000000000003,9,926,4,0,0,0,0,0,4,0,0,0,1
25483,9,2,0,0,23.450000000000003,9,926,4,0,0,0,0,0,4,0,0,0,1
23552,16,5,0,0,23.450000000000003,4,878,20,0,0,0,1,3,4,0,0,1,7
23774,18,6,0,0,23.450000000000003,9,926,4,0,0,0,0,0,1,0,0,0,7
23566,16,5,0,0,23.450000000000003,4,878,20,0,0,0,0,3,4,0,0,1,7
6634,14,4,0,0,23.450000000000003,2,914,8,0,0,0,0,3,2,0,0,1,3
18408,14,4,0,0,23.45,9,932,2,0,0,0,1,0,1,0,0,0,6
27061,16,5,1,0,23.425000000000004,7,913,4,0,0,0,0,0,1,0,0,0,1
15493,16,5,1,0,23.400000000000002,1,906,6,0,0,0,0,1,4,0,0,1,5
15176,16,5,0,0,23.400000000000002,11,804,44,0,0,0,1,1,1,0,0,0,5
8813,7,1,1,0,23.375000000000004,9,908,5,0,0,0,1,0,3,0,0,0,4
8785,7,1,1,0,23.375000000000004,9,908,5,1,0,0,1,0,3,0,0,0,4
632,7,1,0,0,23.375,9,929,2,0,0,0,1,0,4,0,0,0,2
5639,12,3,0,0,23.375,9,929,2,0,0,0,1,0,0,0,0,0,3
10212,12,3,2,0,23.325000000000003,5,870,13,0,0,0,1,0,4,0,0,0,4
4704,7,1,2,0,23.325000000000003,5,870,13,0,0,0,1,4,3,0,0,1,3
4012,18,6,5,0,23.275000000000002,7,856,5,0,1,0,0,0,2,0,0,0,2
4216,18,6,5,5,23.275,1,748,1,0,0,0,1,0,4,0,1,0,2
10202,12,3,2,0,23.150000000000002,6,887,5,0,0,0,0,0,4,0,0,0,4
27906,18,6,6,0,23.150000000000002,4,851,1,0,0,0,1,0,2,0,0,0,1
10164,12,3,2,0,23.150000000000002,6,887,5,0,0,0,1,0,4,0,0,0,4
23641,18,6,0,0,23.1,9,909,5,0,0,0,0,0,0,0,0,0,7
8489,7,1,0,0,23.075000000000003,9,908,5,0,0,0,1,0,1,0,0,0,4
8496,7,1,0,0,23.075000000000003,9,908,5,0,0,0,1,0,1,0,0,0,4
23955,18,6,0,0,23.075000000000003,3,749,58,0,0,0,1,0,2,0,0,0,7
8762,7,1,0,0,23.075000000000003,9,908,5,0,0,0,0,1,3,0,0,1,4
16433,7,1,0,0,23.05,7,910,4,0,0,0,0,1,1,0,0,1,6
10498,14,4,0,0,23.025000000000002,3,861,20,0,0,0,0,1,1,0,0,1,4
10014,12,3,0,0,23.025000000000002,1,903,6,0,0,0,1,0,2,0,0,0,4
7524,16,5,0,0,23.0,1,902,6,0,0,0,0,1,4,0,0,1,3
25530,9,2,4,0,22.95,8,834,12,0,0,0,0,0,4,0,0,0,1
6911,14,4,13,2,22.95,2,681,11,0,1,0,0,1,4,0,1,0,3
12901,7,1,8,0,22.925,10,782,13,0,0,0,0,0,4,0,0,0,5
2175,12,3,4,0,22.900000000000002,7,853,5,1,0,0,0,7,4,0,0,1,2
26623,14,4,0,0,22.85,10,776,46,0,0,0,1,1,2,0,0,0,1
18914,14,4,7,1,22.8,5,672,44,0,0,0,1,1,4,0,1,1,6
16206,18,6,0,0,22.8,5,912,0,0,0,0,0,1,4,0,0,1,5
4633,7,1,1,0,22.8,10,729,57,0,0,0,0,1,2,0,0,1,3
22870,14,4,0,0,22.8,9,870,14,0,0,0,0,0,4,0,0,0,7
6513,14,4,0,0,22.775000000000002,3,908,1,0,0,0,0,0,1,0,0,0,3
4718,7,1,0,0,22.725,5,870,13,0,0,0,0,0,3,0,0,0,3
2096,12,3,12,2,22.700000000000003,10,587,43,0,0,0,1,0,4,0,1,0,2
3984,18,6,0,0,22.700000000000003,5,869,13,0,0,0,1,0,2,0,0,0,2
19181,16,5,0,1,22.675,7,847,12,0,0,0,0,3,1,0,1,1,6
13082,9,2,0,0,22.675,10,499,136,1,0,0,1,0,0,0,0,0,5
17343,9,2,0,0,22.6,6,889,5,0,0,0,1,0,3,0,0,0,6
23275,16,5,0,0,22.6,5,871,11,0,0,0,1,0,2,0,0,0,7
16504,7,1,0,0,22.55,10,830,24,1,1,0,0,0,1,0,0,0,6
10171,12,3,0,0,22.55,6,887,5,0,0,0,0,0,4,0,0,0,4
25516,9,2,4,1,22.525000000000002,0,805,8,0,1,0,0,0,4,0,1,0,1
3787,18,6,0,0,22.525000000000002,9,841,20,0,0,0,1,0,1,0,0,0,2
5218,9,2,1,0,22.450000000000003,1,883,1,3,0,0,0,0,1,0,0,0,3
27576,16,5,0,0,22.425,4,885,4,0,0,0,0,0,4,0,0,0,1
26790,14,4,0,0,22.400000000000002,0,893,1,0,1,0,0,0,4,0,0,0,1
17891,12,3,1,0,22.375,7,847,12,0,0,0,0,1,2,0,0,1,6
